k,period_cat,idens,ivscores,rel_ivscores
4,2,1,3608.68549456522,1.16281092771737
4,2,2,4194.81257065217,1.35167608932023
4,2,3,2947.38845652174,0.949724078375091
4,2,4,3237.29096195652,1.04313809347835
4,2,5,3528.95657608696,1.13712022737753
4,2,6,3652.65394565217,1.17697868921272
4,2,7,3356.38589130435,1.08151353115224
4,2,8,3952.4355,1.27357598699573
4,2,9,3446.11273369565,1.11042581874264
4,2,10,3021.93085326087,0.973743548522059
4,2,11,3216.42367391304,1.03641411861123
4,2,12,3011.21298369565,0.970289976335994
4,2,13,3994.87684782609,1.28725167669314
4,2,14,3812.14102717391,1.22836951324062
4,2,15,3608.82411413043,1.16285559449298
4,2,16,3956.07183152174,1.27474770618175
4,2,17,3830.88730978261,1.23441004581246
4,2,18,3804.94134782609,1.2260495920853
4,2,19,3236.52686956522,1.04289188333237
4,2,20,2867.96347826087,0.924131315360817
4,2,21,3364.6625,1.0841804665364
4,2,22,3502.60380434783,1.12862868911517
4,2,23,3665.43223913044,1.18109618277553
4,2,24,3740.96367934783,1.20543434807237
4,2,25,2868.2930923913,0.924237525478983
4,2,26,3256.06023369565,1.04918603373704
4,2,27,3747.35621195652,1.2074941858677
4,2,28,3590.85007065217,1.15706389715519
4,2,29,4743.97822282609,1.5286313331165
4,2,30,3079.0794673913,0.992158296250796
4,2,31,4100.67233152174,1.32134169222088
4,2,32,3913.54471195652,1.26104437863235
4,2,33,3476.57643478261,1.12024200377068
4,2,34,2998.26811956522,0.966118809441191
4,2,35,3390.40429347826,1.09247513194868
4,2,36,4889.80532065217,1.57562056040296
4,2,37,4822.31013043478,1.5538718807601
4,2,38,3369.16078804348,1.08562993019868
4,2,39,3266.10566304348,1.05242292845587
4,2,40,4255.4178423913,1.37120466069661
4,2,41,4229.61047282609,1.36288886498893
4,2,42,3330.17472826087,1.07306762283991
4,2,43,3397.85813586957,1.09487695094874
4,2,44,3287.90025543478,1.05944570454315
4,2,45,3662.44552717391,1.18013378765792
4,2,46,3604.06008695652,1.16132050287413
4,2,47,3041.08877717391,0.979916722469197
4,2,48,4140.46316847826,1.334163319405
4,2,49,3456.87909782609,1.11389501712014
4,2,50,3249.41244565217,1.04704394610049
4,2,51,3634.02539673913,1.17097609345417
4,2,52,3384.16466847826,1.09046456490265
4,2,53,4100.00716847826,1.32112735964553
4,2,54,4388.35891304348,1.41404167986318
4,2,55,4349.55536956522,1.40153818393408
4,2,56,3699.75997282609,1.19215745811393
4,2,57,3669.0194076087,1.18225206036929
4,2,58,3678.00069021739,1.18514605974331
4,2,59,4185.34404347826,1.34862508726316
4,2,60,2978.56891847826,0.95977122212007
4,2,61,3532.35509782609,1.13821531815845
4,2,62,3248.6819673913,1.0468085672886
4,2,63,4799.54907608696,1.54653768586784
4,2,64,2547.37138043478,0.820828327263506
4,2,65,3482.4314076087,1.12212862603075
4,2,66,3367.63926086957,1.08513965515883
4,2,67,2907.78680434783,0.936963411375199
4,2,68,3268.76748913044,1.05328063702212
4,2,69,3232.19332608696,1.04149550459007
4,2,70,4057.48610869565,1.30742598471336
4,2,71,3540.68695108696,1.14090005475699
4,2,72,2614.42019021739,0.842433171693169
4,2,73,4468.64132608696,1.43991073033351
4,2,74,3255.58283695652,1.04903220427588
4,2,75,2828.12236413043,0.911293487583064
4,2,76,3221.61393478261,1.03808655364773
4,2,77,3476.122,1.12009557324024
4,2,78,2883.20792934783,0.929043468092792
4,2,79,3078.30986956522,0.991910312112675
4,2,80,2982.2947173913,0.960971769991889
4,2,81,3204.779,1.03266190631781
4,2,82,2729.3465,0.87946537333521
4,2,83,4215.50048913044,1.35834226671764
4,2,84,3175.68076630435,1.02328570986912
4,2,85,3238.22373369565,1.04343865643207
4,2,86,2759.14049456522,0.889065761762786
4,2,87,3936.25908152174,1.2683635304915
4,2,88,3807.1732173913,1.22676875764395
4,2,89,3610.50125543478,1.16339601239278
4,2,90,3552.35595108696,1.14466010553891
4,2,91,3943.72057065217,1.27076781346684
4,2,92,4124.06578804348,1.32887966329692
4,2,93,3249.0740326087,1.0469349007471
4,2,94,3821.82636413044,1.23149037696471
4,2,95,3211.22484782609,1.03473892364222
4,2,96,2886.99321195652,0.930263183135435
4,2,97,3576.92604347826,1.15257721883976
4,2,98,3185.89734782609,1.02657775420363
4,2,99,3080.85710326087,0.992731096074373
4,2,100,3298.21521195652,1.06276944782321
4,3,1,16159.0025163043,1.11151031010012
4,3,2,13781.212,0.947952029106976
4,3,3,13655.8640271739,0.939329865455119
4,3,4,10199.4365,0.701576648405289
4,3,5,17193.917298913,1.18269777663983
4,3,6,11950.6828858696,0.822037574842769
4,3,7,16697.4134347826,1.14854534901141
4,3,8,11722.4747119565,0.806340087457794
4,3,9,17654.7514293478,1.21439663222869
4,3,10,19384.986625,1.33341228662474
4,3,11,17168.2563043478,1.18093266397289
4,3,12,13866.4346521739,0.953814139497131
4,3,13,17307.1806630435,1.19048869051961
4,3,14,15276.340673913,1.05079568757561
4,3,15,22363.2411032609,1.53827397628341
4,3,16,12632.8108641304,0.868958310196309
4,3,17,14510.5220326087,0.998118220967277
4,3,18,16330.8320652174,1.12332974728406
4,3,19,11746.7053695652,0.808006813217963
4,3,20,10759.2173423913,0.740081635151016
4,3,21,15965.2900652174,1.09818563944915
4,3,22,10575.6320706522,0.72745357088067
4,3,23,12511.4201956522,0.86060835298655
4,3,24,13709.4931521739,0.943018789031868
4,3,25,12771.5219184783,0.878499664427605
4,3,26,11526.3323206522,0.792848271365649
4,3,27,18113.8570217391,1.24597658890316
4,3,28,13606.6187228261,0.935942486596096
4,3,29,19638.6410217391,1.35086011342552
4,3,30,16879.8126576087,1.16109182992946
4,3,31,13542.198826087,0.931511310889001
4,3,32,11092.0476902174,0.76297564502258
4,3,33,18425.8011521739,1.26743392309217
4,3,34,11935.4532336957,0.820989990662157
4,3,35,11037.661,0.75923461169779
4,3,36,14600.635451087,1.00431674674979
4,3,37,17788.4724891304,1.2235947455699
4,3,38,18313.6115217391,1.25971686686987
4,3,39,17503.7803804348,1.20401196416368
4,3,40,10976.6810652174,0.755040056609894
4,3,41,14544.5670978261,1.00046003884613
4,3,42,23993.5129836957,1.65041357162918
4,3,43,11820.8868206522,0.813109445488621
4,3,44,11963.0222336957,0.822886347055953
4,3,45,11949.6139728261,0.821964048777826
4,3,46,10938.4181630435,0.752408111338659
4,3,47,17321.9048641304,1.19150150683049
4,3,48,27291.6697880435,1.87728000652579
4,3,49,13580.0011141304,0.934111572437528
4,3,50,11425.2126086957,0.785892668612285
4,3,51,14999.319,1.03174052334967
4,3,52,18092.0384293478,1.24447577903755
4,3,53,9962.38816304348,0.685271083117246
4,3,54,15854.5315923913,1.09056702658286
4,3,55,13939.5968315217,0.958846660320892
4,3,56,27418.8277934783,1.88602667476289
4,3,57,13231.1939293478,0.910118582664077
4,3,58,13691.365798913,0.941771884093029
4,3,59,19232.4950869565,1.32292303046135
4,3,60,16528.8488478261,1.13695049492739
4,3,61,10703.6141467391,0.736256923496967
4,3,62,20286.6468369565,1.39543372766267
4,3,63,17809.7590054348,1.2250589561432
4,3,64,11886.4102282609,0.81761652710065
4,3,65,19714.3637119565,1.35606876110041
4,3,66,19351.5899945652,1.331115071867
4,3,67,14480.5097282609,0.996053799869575
4,3,68,11236.3596847826,0.77290226454433
4,3,69,20685.2341195652,1.42285088250545
4,3,70,18418.1968586957,1.26691085549604
4,3,71,16440.5620597826,1.13087761542527
4,3,72,10845.7015326087,0.746030521475546
4,3,73,10797.8342771739,0.742737932847116
4,3,74,12027.2717391304,0.827305802256701
4,3,75,12571.7727228261,0.864759751324827
4,3,76,13067.4710652174,0.898856770476321
4,3,77,10805.2635326087,0.743248960307121
4,3,78,13442.9372717391,0.924683523038678
4,3,79,26631.9010978261,1.83189727323406
4,3,80,21045.2928152174,1.44761781673018
4,3,81,13213.2631413043,0.908885198625772
4,3,82,23338.2720217391,1.60534228185868
4,3,83,10541.7894619565,0.725125679140573
4,3,84,15238.2933695652,1.04817857237859
4,3,85,21387.7252228261,1.47117231220015
4,3,86,15487.8542065217,1.06534482029485
4,3,87,16023.060173913,1.10215940400337
4,3,88,15854.4400869565,1.09056073230609
4,3,89,21720.7691847826,1.49408101569579
4,3,90,13222.7670597826,0.909538933493643
4,3,91,14902.8193043478,1.0251027122267
4,3,92,11094.0338532609,0.763112264884984
4,3,93,12507.0281413044,0.86030624190728
4,3,94,17390.6859076087,1.19623266761151
4,3,95,18520.4076304348,1.27394150769606
4,3,96,17315.5948043478,1.19106746416612
4,3,97,18536.9491467391,1.27507932953242
4,3,98,24599.7719945652,1.69211559751182
4,3,99,20794.2243695652,1.43034786670687
4,3,100,13114.0060815217,0.902057719937822
4,4,1,86145.6975163044,1.53347653437544
4,4,2,60393.2981521739,1.07505897821966
4,4,3,88590.7352826087,1.57700056573614
4,4,4,91996.027951087,1.63761806086762
4,4,5,42754.6805652174,0.761074566365541
4,4,6,71542.2292554348,1.27352070902152
4,4,7,71617.5104184783,1.27486078635952
4,4,8,43989.7975434783,0.783060840294233
4,4,9,75736.6236630435,1.34818497648265
4,4,10,48529.9512228261,0.863879956401807
4,4,11,93262.6466956522,1.66016509663134
4,4,12,74616.6466413044,1.32824830487405
4,4,13,101768.447913043,1.81157656521296
4,4,14,54587.6963641304,0.971713664796343
4,4,15,40871.1984728261,0.727546767823405
4,4,16,46403.9177880435,0.826034509936885
4,4,17,61659.9478152174,1.09760656436213
4,4,18,88684.0067282609,1.57866088746269
4,4,19,62212.3314184783,1.10743952547332
4,4,20,103078.348972826,1.83489406794895
4,4,21,50869.1236847826,0.905519483199865
4,4,22,97585.4655271739,1.73711544274979
4,4,23,63923.0507880435,1.13789198085721
4,4,24,62510.5298206522,1.11274774475189
4,4,25,67994.6038206522,1.21036955331855
4,4,26,78068.1334130435,1.38968809961444
4,4,27,65855.4095108696,1.17228983058022
4,4,28,57471.7892826087,1.02305330149274
4,4,29,76576.0300054348,1.36312721928728
4,4,30,57294.2573641304,1.01989306205028
4,4,31,61759.4238532609,1.09937733381981
4,4,32,67377.993076087,1.19939328712191
4,4,33,80959.5617826087,1.44115831441787
4,4,34,70645.0964619565,1.25755087968956
4,4,35,57660.8968152174,1.02641959803557
4,4,36,46254.4415271739,0.823373688269659
4,4,37,68767.8350543478,1.22413381533865
4,4,38,83861.2551304348,1.49281125573862
4,4,39,53864.0592934783,0.958832226729871
4,4,40,60969.7173858696,1.08531979674362
4,4,41,63995.4206467391,1.13918023416882
4,4,42,62297.5643478261,1.1089567538536
4,4,43,71645.3596576087,1.27535652968667
4,4,44,70869.3167173913,1.26154221657758
4,4,45,76021.758201087,1.35326064637489
4,4,46,72976.9104076087,1.29905941779746
4,4,47,83161.4954130435,1.4803548575985
4,4,48,54203.4654782609,0.96487398429864
4,4,49,67346.3034728261,1.19882918160782
4,4,50,81034.7888532609,1.44249742885911
4,4,51,58931.0605706522,1.04902973841321
4,4,52,65836.4292771739,1.17195196410716
4,4,53,65348.793625,1.16327157899806
4,4,54,73903.874875,1.31556027970847
4,4,55,46421.348,0.826344784527434
4,4,56,70075.1427119565,1.24740515301367
4,4,57,64543.3030434783,1.14893306946089
4,4,58,61299.334875,1.09118730608506
4,4,59,81597.9975543478,1.45252308715632
4,4,60,66951.5499130435,1.19180218736155
4,4,61,64306.2777717391,1.14471379092759
4,4,62,58722.2791086957,1.04531322694539
4,4,63,75162.5147608696,1.33796528408893
4,4,64,89751.0096902174,1.59765456969458
4,4,65,77616.0697826087,1.38164093081433
4,4,66,67716.3259945652,1.20541593951491
4,4,67,68735.151798913,1.22355202185713
4,4,68,68835.3707554348,1.22533601598053
4,4,69,52137.8363097826,0.928103792055628
4,4,70,48019.5699402174,0.854794677124607
4,4,71,86065.1249347826,1.53204226468304
4,4,72,57639.9078478261,1.02604597416458
4,4,73,64992.0704347826,1.15692156202406
4,4,74,55850.4996467391,0.994192781655849
