model,location,target_type,period_cat,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median
EuroCOVIDhub-ensemble,DE,Cases,7,82703.552,47252.4183043478,28975.6793478261,6475.45434782609,0.101739130434783,-0.157,115219.275
EuroCOVIDhub-ensemble,DE,Deaths,7,77.3969565217391,54.4936956521739,16.8282608695652,6.075,0.162608695652174,-0.105,104.725
EuroCOVIDhub-ensemble,PL,Cases,7,2258.82254347826,328.417108695652,1922.64891304348,7.75652173913043,-0.0765217391304348,-0.44075,2952.975
EuroCOVIDhub-ensemble,PL,Deaths,7,5.71663043478261,4.06010869565217,1.42934782608696,0.227173913043478,0.249565217391304,-0.0625,7.7
EuroCOVIDhub-ensemble,DE,Cases,8,67728.5100326087,29181.27525,16913.7836956522,21633.4510869565,0.0452173913043478,0.015,108554.85
EuroCOVIDhub-ensemble,DE,Deaths,8,62.2156304347826,44.5580217391304,10.8086956521739,6.84891304347826,0.140869565217391,-0.075,82.475
EuroCOVIDhub-ensemble,PL,Cases,8,4715.74354347826,2339.37615217391,942.752173913044,1433.6152173913,0.0734782608695652,0.0835,7303.35
EuroCOVIDhub-ensemble,PL,Deaths,8,19.7242826086957,11.4058043478261,3.2195652173913,5.09891304347826,0.0702173913043478,0.02625,29.725
EuroCOVIDhub-ensemble,DE,Cases,9,139380.063619565,41198.9125326087,8923.29456521739,89257.8565217391,-0.0569565217391304,0.15325,204786.175
EuroCOVIDhub-ensemble,DE,Deaths,9,145.639945652174,76.0149456521739,25.6108695652174,44.0141304347826,0.0452173913043478,0.00875,219.625
EuroCOVIDhub-ensemble,PL,Cases,9,1551.09077173913,747.683163043478,163.890217391304,639.517391304348,-0.07,0.0775,2768.425
EuroCOVIDhub-ensemble,PL,Deaths,9,13.8314239130435,6.58251086956522,4.85108695652174,2.39782608695652,-0.0406521739130435,-0.1995,19.225
EuroCOVIDhub-ensemble,DE,Cases,10,31949.0442173913,15226.6931304348,1900.22282608696,14822.1282608696,0.0539130434782609,0.2315,45099.175
EuroCOVIDhub-ensemble,DE,Deaths,10,96.0782729468599,57.3898671497585,35.3852657004831,3.30314009661836,0.109951690821256,-0.301388888888889,139.611111111111
EuroCOVIDhub-ensemble,PL,Cases,10,1336.1312826087,487.743239130435,662.148913043478,186.239130434783,-0.0373913043478261,-0.06025,2085.175
EuroCOVIDhub-ensemble,PL,Deaths,10,9.97679951690821,6.42486714975845,0.955314009661836,2.59661835748792,0.147391304347826,0.0888888888888889,13.4166666666667
EuroCOVIDhub-ensemble,DE,Cases,11,10167.3604347826,8594.7952173913,627.188405797102,945.376811594203,0.223478260869565,-0.0333333333333334,10439.6666666667
EuroCOVIDhub-ensemble,DE,Deaths,11,55.1,47.4768115942029,0.391304347826087,7.23188405797102,0.252463768115942,0.2,58.3333333333333
EuroCOVIDhub-ensemble,PL,Cases,11,1387.49333333333,948.746956521739,382.630434782609,56.1159420289855,0.136521739130435,-0.233333333333333,2119.83333333333
EuroCOVIDhub-ensemble,PL,Deaths,11,9.71528985507246,7.20079710144928,1.85507246376812,0.659420289855073,0.151014492753623,-0.116666666666667,14.1666666666667
